"Department","Division","Model Name","Model#","Description","Shipping Date","Warranty Expiry Date","CPU","Memory","HDD/SSD"
"OMB",,"SURFACE PRO 4","SURFACE PRO 4","PC-TABLET",,,"2400","8192",
"POL","HQ","THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","32768",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"POL","PSTA","THINKCENTRE M800","M800","PC-DESKTOP","06/18/2016","08/01/2019","3200","8192",
"REC","4D","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"CEC-UC",,"THINKCENTRE M82","M82","PC-DESKTOP","08/31/2012","09/09/2015","3400","4096","238472"
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"THINKCENTRE M800","M800","PC-DESKTOP","05/11/2017","06/25/2020","3200","8192",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,,,
"CUPF",,"THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","8192",
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192",
"PRO",,"THINKPAD L14","L14","PC-LAPTOP","03/16/2021","07/21/2024","2400","8192",
"HHS",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","476937"
"HHS",,"OPTIPLEX 760","760","PC-DESKTOP","05/08/2009","05/08/2013","3000","4096","152586"
"HHS",,"THINKPAD L480","L480","PC-LAPTOP","10/12/2018","12/06/2021","1600","8192",
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"POL","SUP","THINKCENTRE M710S","M710S","PC-DESKTOP","06/16/2017","07/30/2020","3200","8192",
"POL","HQ","THINKPAD L540","L540","PC-LAPTOP","04/29/2014","06/12/2017","2900","8192","476937"
"HHS",,"THINKPAD L490","L490","PC-LAPTOP","05/12/2020","08/03/2023","1600","8192",
"OHR",,"LATITUDE 5410","5410","PC-LAPTOP","01/21/2021",,"1700","16384",
"FRS",,"E15 GEN 2","E15 GEN 2","PC-LAPTOP","08/23/2021","09/12/2024","2800","16384",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/28/2021","07/29/2024",,,
"CCL",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"CCL",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/28/2021","07/29/2024",,,
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/28/2021","07/29/2024",,,
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CCL",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CEC-SS",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/28/2019","10/02/2022","2800","8192",
"LIB",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP",,,,,
"POL","HQ","THINKCENTRE M83","M83","PC-DESKTOP","12/11/2013","12/21/2016","3200","20480","476937"
"OAS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"DOT-TRN",,"THINKCENTRE M710S","M710S","PC-DESKTOP","07/06/2018","10/30/2021","3200","8192",
"IGR",,"THINKCENTRE M800","M800","PC-DESKTOP","05/05/2016","06/19/2019","3200","8192",
"HHS",,"THINKCENTRE M83","M83","PC-DESKTOP","06/26/2014","08/09/2017","3200","8192","476937"
"DTS",,"THINKPAD L460","L460","PC-LAPTOP","09/28/2016","11/11/2019","2300","16384",
"LIB",,"THINKCENTRE M83","M83","PC-DESKTOP","01/21/2014","03/06/2017","3200",,
"HHS",,"THINKPAD L480","L480","PC-LAPTOP","10/12/2018","12/06/2021","1600","16384",
"POL",,"THINCENTRE M630E TINY","M630E TINY","PC-DESKTOP","06/26/2021","07/22/2024","1000","8192",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"CCT",,"LATITUDE 5420","5420","PC-LAPTOP","07/20/2021","07/21/2024","2600","16384",
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/20/2025","3100","16384",
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/20/2025","3100","16384",
"DTS",,"THINKPAD L460","L460","PC-LAPTOP","09/28/2016","11/11/2019","2300","16384",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/22/2025","3100","16384",
"HHS",,"OPTIPLEX 755","755","PC-DESKTOP","10/21/2008","10/21/2012","2330","152507",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"THINKPAD L480","L480","PC-LAPTOP","10/12/2018","12/06/2021","1600","8192",
"HHS",,"THINKPAD HELIX","HELIX","PC-TABLET","06/26/2014","08/09/2017","1800","4096","122103"
"DTS",,"THINKPAD X1","X1","PC-LAPTOP","04/16/2013","05/30/2016","1700","4096",
"POL","6D","THINKCENTRE M83","M83","PC-DESKTOP","11/26/2014","01/09/2018","3200","8192","476937"
"DGS-FAC","FAC","LATITUDE 5410","5410","PC-LAPTOP","01/21/2021",,"1700","16384",
"FIN",,"PRECISION M6700","M6700","PC-LAPTOP","02/15/2013","02/15/2016","2700","16384","488382, 715402"
"DOT-TRN",,"THINKCENTRE M710S","M710S","PC-DESKTOP","07/06/2018","10/29/2021","3200","8192",
"FIN",,"PRECISION M6700","M6700","PC-LAPTOP","02/15/2013","02/15/2016","2700","16384","305242, 715402"
"FIN",,"PRECISION M6700","M6700","PC-LAPTOP","02/15/2013","02/15/2016","2700","16384","305242, 715402"
"FRS",,"THINKCENTRE M80S","M80S","PC-DESKTOP","11/04/2021","03/22/2025","3100","16384",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"HHS",,"E14 GEN 2","E14 GEN 2","PC-LAPTOP","08/24/2021","12/12/2024","2400","16384",
"DOCR",,"THINKPAD L440","L440","PC-LAPTOP","07/14/2014","08/27/2017","2500","8192","114470"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"POL","HQ","THINKSTATION S30","S30","PC-WORKSTATION","04/03/2014","05/18/2017","3200","65536","953867"
"CCL",,"THINKPAD L480","L480","PC-LAPTOP","04/12/2018","06/08/2021","1600","8192",
"CCL",,"THINKPAD L480","L480","PC-LAPTOP","04/12/2018","06/08/2021","1600","8192",
"PSCC","POL","THINKPAD L440","L440","PC-LAPTOP","04/30/2014","06/13/2017","2600","4096","476937"
"HHS","SHS","THINKPAD L440","L440","PC-LAPTOP","07/15/2014","08/28/2017","2500","4096",
"HHS","SHS","THINKPAD L440","L440","PC-LAPTOP","07/15/2014","08/28/2017","2500","4096",
"HHS","SHS","THINKPAD L440","L440","PC-LAPTOP","07/15/2014","08/28/2017","2500","4096",
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"FRS",,"THINKCENTRE M800","M800","PC-DESKTOP","06/16/2016","07/30/2019","3200","8192",
"PIO","MC311","THINKPAD L540","L540","PC-LAPTOP","12/30/2014","02/12/2018","2900","12288","244191"
"DOCR",,"LATITUDE 5420","5420","PC-LAPTOP","05/17/2021",,"2600","16384",
"CEC-UC",,"THINKCENTRE M800","M800","PC-DESKTOP","05/31/2017","07/14/2020","3200","8192",
"HHS",,"THINKCENTRE M83","M83","PC-DESKTOP","03/09/2015","04/22/2018","3200","8192","476937"
"OHR",,"THINKCENTRE M83","M83","PC-DESKTOP","01/10/2015","02/23/2018","3200","8192","476937"
"DOCR",,"THINKCENTRE M720S","M720S","PC-DESKTOP","09/06/2018",,,,
